symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
BTCUSDT,-779.23000000,-1.148,67295.90304913,67858.49000000,67079.27000000,0.01763000,67079.27000000,3.65231000,67079.28000000,0.00126000,67858.50000000,68200.00000000,66547.15000000,18974.69882000,1276919492.177143,1772900600000,1772987000000,6076873174,6079375849,2502676
ETHUSDT,-37.19000000,-1.88,1952.84856870,1978.56000000,1941.37000000,0.04770000,1941.36000000,12.89650000,1941.37000000,0.33930000,1978.56000000,1983.47000000,1925.06000000,316099.05530000,617293587.711078,1772900600012,1772987000012,3780083396,3783110211,3026816
USDCUSDT,-0.00010000,-0.01,1.00006153,1.00000000,1.00000000,228.00000000,1.00000000,72532387.00000000,1.00010000,67003575.00000000,1.00010000,1.00020000,1.00000000,458879498.00000000,458907733.2226,1772900599432,1772986999432,401161620,401446227,284608
SOLUSDT,-1.86000000,-2.222,82.72989480,83.72000000,81.86000000,5.08800000,81.86000000,465.56400000,81.87000000,189.41000000,83.72000000,84.13000000,81.18000000,1825188.29100000,150997635.29825,1772900599671,1772986999671,1899826212,1900501865,675654
XRPUSDT,-0.01620000,-1.192,1.35403074,1.35860000,1.34230000,1701.70000000,1.34230000,48143.10000000,1.34240000,2258.10000000,1.35850000,1.37120000,1.34140000,63800524.20000000,86387870.6804,1772900600300,1772987000300,1581857717,1582281221,423505
DOGEUSDT,-0.00158000,-1.752,0.08933136,0.09020000,0.08862000,281.00000000,0.08862000,84443.00000000,0.08863000,44919.00000000,0.09020000,0.09133000,0.08790000,637323562.00000000,56932983.72802,1772900599525,1772986999525,1497899184,1498347602,448419
USD1USDT,0.00010000,0.01,0.99971460,0.99970000,0.99980000,21.00000000,0.99980000,5818601.00000000,0.99990000,4633903.00000000,0.99970000,0.99990000,0.99960000,55030042.00000000,55014336.2923,1772900599903,1772986999903,13360309,13467422,107114
BNBUSDT,-8.83000000,-1.415,619.25520883,623.90000000,615.07000000,0.02100000,615.06000000,24.80500000,615.07000000,0.03600000,623.90000000,625.15000000,613.05000000,74548.61600000,46164618.76903,1772900599098,1772986999098,1439289024,1439845297,556274
PAXGUSDT,-10.70000000,-0.206,5173.78964097,5183.21000000,5172.50000000,0.00290000,5172.50000000,1.07440000,5172.51000000,1.42070000,5183.20000000,5188.85000000,5162.29000000,6445.38390000,33347060.45391,1772900595781,1772986995781,41312022,41352362,40341
TRXUSDT,0.00400000,1.403,0.28679104,0.28510000,0.28910000,1930.10000000,0.28900000,373513.60000000,0.28910000,256554.80000000,0.28510000,0.28990000,0.28500000,105684598.00000000,30309395.78094,1772900599824,1772986999824,393196973,393265733,68761
ZECUSDT,-9.28000000,-4.495,197.92727671,206.42000000,197.16000000,0.09200000,197.16000000,5.29800000,197.18000000,0.02800000,206.44000000,208.22000000,192.04000000,152188.24500000,30122204.88079,1772900599488,1772986999488,221969446,222164075,194630
OPNUSDT,-0.01720000,-5.338,0.31749489,0.32230000,0.30500000,2505.30000000,0.30490000,2157.40000000,0.30500000,1491.30000000,0.32220000,0.33900000,0.29810000,87157307.20000000,27671999.33604,1772900599445,1772986999445,2864836,3293613,428778
KITEUSDT,0.03680000,13.625,0.28746942,0.27030000,0.30690000,33.30000000,0.30680000,1149.90000000,0.30690000,454.80000000,0.27010000,0.30770000,0.26890000,85709242.40000000,24638786.62484,1772900599386,1772986999386,19444165,19691842,247678
ADAUSDT,-0.00650000,-2.543,0.25305200,0.25550000,0.24910000,6434.10000000,0.24910000,97062.30000000,0.24920000,3220.50000000,0.25560000,0.25740000,0.24810000,91980093.50000000,23275746.5254,1772900600306,1772987000306,756284801,756379727,94927
TAOUSDT,-14.90000000,-7.85,179.25293577,189.70000000,174.90000000,17.84240000,174.90000000,29.38850000,175.00000000,45.09250000,189.80000000,192.00000000,172.50000000,120030.21050000,21515767.61329,1772900596003,1772986996003,123784567,123938792,154226
SIGNUSDT,0.00805000,17.977,0.05033359,0.04479000,0.05283000,2879.00000000,0.05281000,1000.00000000,0.05282000,2201.00000000,0.04478000,0.06000000,0.04462000,415821004.00000000,20929765.69726,1772900600038,1772987000038,17753422,18031055,277634
BANANAS31USDT,0.00005600,0.792,0.00679686,0.00707500,0.00713100,701.00000000,0.00712800,1403.00000000,0.00713100,702.00000000,0.00707500,0.00787000,0.00565700,3013129829.00000000,20479825.075302,1772900600048,1772987000048,47031057,47532629,501573
PEPEUSDT,-0.00000009,-2.761,0.00000323,0.00000326,0.00000317,212247360.00,0.00000316,33806455865.00,0.00000317,34793996611.00,0.00000326,0.00000330,0.00000316,6248344536752.00,20182106.20344189,1772900599931,1772986999931,546402352,546470510,68159
FDUSDUSDT,-0.00030000,-0.03,0.99920437,0.99920000,0.99900000,442.00000000,0.99900000,746391.00000000,0.99910000,1416601.00000000,0.99930000,0.99940000,0.99900000,19526486.00000000,19510950.1672,1772900589856,1772986989856,338378140,338397263,19124
DEGOUSDT,0.28700000,79.282,0.49272966,0.36200000,0.64900000,84.54000000,0.64700000,571.01000000,0.64800000,625.74000000,0.36200000,0.68000000,0.32600000,39307139.09000000,19367793.16894,1772900600322,1772987000322,56296150,56466756,170607
LTCUSDT,-1.30000000,-2.417,53.22468085,53.78000000,52.48000000,2.45100000,52.48000000,126.77500000,52.49000000,1.62800000,53.78000000,53.99000000,52.45000000,340936.52000000,18146237.46818,1772900600003,1772987000003,566961321,567106947,145627
SUIUSDT,-0.01540000,-1.715,0.89257046,0.89790000,0.88260000,252.00000000,0.88250000,636.30000000,0.88260000,1276.70000000,0.89800000,0.91060000,0.87410000,19553953.40000000,17453281.18977,1772900599071,1772986999071,491104833,491257586,152754
NEARUSDT,-0.01100000,-0.899,1.22607541,1.22400000,1.21200000,12644.60000000,1.21100000,12783.90000000,1.21200000,5231.30000000,1.22300000,1.25600000,1.19400000,12465585.80000000,15283748.2644,1772900599509,1772986999509,323244508,323346307,101800
LINKUSDT,-0.23000000,-2.623,8.64394472,8.77000000,8.54000000,156.86000000,8.54000000,6341.07000000,8.55000000,3443.27000000,8.77000000,8.81000000,8.53000000,1722429.97000000,14888589.4366,1772900598719,1772986998719,463869974,463916713,46740
UUSDT,0.00000000,0.0,0.99993309,1.00000000,1.00000000,14.00000000,0.99990000,966883.00000000,1.00000000,394333.00000000,1.00000000,1.00010000,0.99980000,13445094.00000000,13444194.3284,1772900592904,1772986992904,334769,341506,6738
RESOLVUSDT,0.01100000,12.318,0.09040962,0.08930000,0.10030000,23761.70000000,0.10030000,4252.50000000,0.10040000,1143.80000000,0.08930000,0.10760000,0.07870000,141930993.90000000,12831926.96574,1772900600147,1772987000147,14750281,14885639,135359
ROBOUSDT,-0.00272000,-6.406,0.03988151,0.04247000,0.03974000,5952.00000000,0.03974000,13664.00000000,0.03975000,11971.00000000,0.04246000,0.04248000,0.03841000,308133645.00000000,12288835.36193,1772900599254,1772986999254,2397595,2666657,269063
BANANAUSDT,0.19000000,4.358,5.05259799,4.37000000,4.55000000,213.09600000,4.55000000,655.64800000,4.56000000,416.68300000,4.36000000,5.77000000,4.36000000,2424008.83200000,12247542.14457,1772900598607,1772986998607,28716995,28799817,82823
AVAXUSDT,-0.12000000,-1.338,8.90190511,8.97000000,8.85000000,3071.20000000,8.84000000,5421.97000000,8.85000000,1329.06000000,8.97000000,9.02000000,8.79000000,1294803.88000000,11526221.2792,1772900599979,1772986999979,428714709,428751512,36804
MANTRAUSDT,0.00077000,4.448,0.01819712,0.01730000,0.01808000,11998.00000000,0.01808000,10000.00000000,0.01809000,30614.00000000,0.01731000,0.01925000,0.01716000,599513943.00000000,10909429.02038,1772900598056,1772986998056,959860,1052258,92399
PLUMEUSDT,0.00289000,25.643,0.01274161,0.01127000,0.01416000,975.00000000,0.01416000,2792.00000000,0.01417000,44915.00000000,0.01127000,0.01449000,0.01121000,846067302.00000000,10780262.99686,1772900600213,1772987000213,24422889,24504524,81636
COSUSDT,0.00055400,66.587,0.00123411,0.00083200,0.00138600,18302.00000000,0.00138300,345717.80000000,0.00138600,675521.40000000,0.00083200,0.00149500,0.00082700,7844184426.80000000,9680581.5640632,1772900598554,1772986998554,66179199,66319602,140404
ALCXUSDT,-1.26000000,-17.166,7.14392815,7.34000000,6.08000000,21.27820000,6.07000000,180.39560000,6.08000000,12.77280000,7.34000000,8.25000000,5.63000000,1224432.44760000,8747257.43545,1772900599761,1772986999761,22165321,22264474,99154
